날짜,노원구,은평구,서대문구,서초구,강남구,송파구
2021-05-10,105.418381607043,96.696023525861,92.225002291727,73.950445558196,72.578343549491,72.832766426973
2021-05-17,105.928841234079,96.763423798412,92.328191165244,73.992168278409,72.66302834729,73.007937899056
2021-05-24,106.538533299459,96.940097841472,92.5662411215,74.45574695667,72.846734211089,73.241300991243
2021-05-31,106.984128110112,97.140463752857,92.795504452217,74.927707172468,73.063585546237,73.466569738902
2021-06-07,107.637034826846,97.717941876142,93.1569722934,75.29781683716,73.166845478875,73.595767240769
2021-06-14,108.072743908251,98.264213175279,93.577799323301,75.650993777554,73.310084134798,73.743408883141
2021-06-21,108.737579228275,98.446840088351,93.587345893174,75.848321388204,73.471863672235,73.958178422773
2021-06-28,109.223307704761,98.612749065601,94.015548588368,76.201798331681,73.734981260041,74.15977067435
2021-07-05,109.449470302734,99.167751542935,94.289803437763,76.423483251341,73.827248433526,74.339175344311
2021-07-12,109.860252800003,99.448473243421,94.823695151946,76.514869602357,73.939853654164,74.689639047472
2021-07-19,110.406881137524,99.934852187972,94.879177494775,76.813926977963,74.132935221973,75.071450245144
2021-07-26,110.702375753188,100.025710826977,95.178332425434,76.988835740728,74.272021676486,75.358388538896
2021-08-02,110.907455011779,100.437474039532,95.425251270417,77.199628078038,74.411521713414,75.601708185009
2021-08-09,111.554376221948,100.862875716764,95.589006367719,77.589404394881,74.562919056238,75.930743787904
2021-08-16,112.06189171875,101.550056166161,95.9247371284,77.855006039678,74.771589590885,76.251109282505
2021-08-23,112.725441869966,101.977662497229,96.337278498557,78.148463098841,75.036105098871,76.609715085284
2021-08-30,113.192019820279,102.370206298771,96.819032440881,78.504005940721,75.271694297656,76.839327911925
2021-09-06,114.050850544567,102.956856862214,97.215521131848,78.823638562229,75.476139368797,77.18254986238
2021-09-13,114.797085517832,103.591591710387,97.532890180268,79.156707802149,75.670992480914,77.415571621262
2021-09-27,115.274060880832,104.14266705287,97.643491157275,79.518704023494,75.880814201938,77.726168552765
2021-10-04,115.550375281081,104.517831402488,97.821846633992,79.649539102747,76.08152428737,77.998835113811
2021-10-11,115.908924575446,104.596557699455,98.118734841476,79.947221314122,76.441933646557,78.362072379176
2021-10-18,116.078472953913,104.898254007919,98.216881173568,80.331771942444,76.716801639399,78.657331515311
2021-10-25,116.430142675423,105.056388615846,98.255990854391,80.489654997304,77.066838966186,78.833200937227
2021-11-01,116.768076491912,105.221079958905,98.273738969205,80.829222274268,77.204986856049,78.9097658465
2021-11-08,116.93974556248,105.344461522558,98.432703909102,81.131143716767,77.398674225105,79.034983268419
2021-11-15,117.097517655355,105.41104248452,98.43268102631,81.391823906409,77.57773432572,79.140861648117
2021-11-22,117.252668222267,105.603529509628,98.43268102631,81.562814361205,77.694138432371,79.26429038275
2021-11-29,117.356598421299,105.819194756264,98.459253888144,81.758157035453,77.85858659026,79.424373613701
2021-12-06,117.362540682535,105.98498383518,98.724848813948,82.060561151599,77.948823094799,79.469604773
2021-12-13,117.420799824917,106.064616434047,98.760780529532,82.215559401265,78.083688904029,79.507589388139
2021-12-20,117.581887569532,106.130740052067,98.844791792039,82.414834156687,78.245403638726,79.580642344922
2021-12-27,117.656553919155,106.1307138326,98.903100501215,82.562718226925,78.378965365406,79.618730315154
2022-01-03,117.677915734921,106.153191484819,99.003112241235,82.586434259721,78.450965925421,79.681263638444
2022-01-10,117.674364793289,106.151690075314,99.01683862872,82.622716464087,78.472680673741,79.724693872715
2022-01-17,117.69147790551,106.166934455835,99.045475902525,82.647855350946,78.520236436571,79.724959300138
2022-01-24,117.733597891086,106.166930315919,99.045526411014,82.670008632896,78.568576910512,79.738990248325
2022-02-07,117.734282967703,106.166930315919,99.027141063434,82.703536088485,78.591635770296,79.762800139764
2022-02-14,117.717313253463,106.166930315919,99.027151074037,82.745860946531,78.597794832042,79.787432566816
2022-02-21,117.701909832089,106.170304177545,99.027151074037,82.762877367642,78.63663299415,79.797699481003
2022-02-28,117.725325442079,106.170259402762,99.055976658065,82.789923715582,78.671646570441,79.799850644583
2022-03-07,117.725298965347,106.170259190459,99.009144030191,82.816629500947,78.718379421658,79.799821640739
2022-03-14,117.711126264851,106.170259190459,99.023822286349,82.859859358655,78.779380159979,79.801586745461
2022-03-21,117.632251491617,106.170259190459,99.023810404328,82.865299238307,78.86080262872,79.819215469771
2022-03-28,117.647235643937,106.176286274303,99.047451169239,82.922616517867,78.890565866245,79.819216532102
